original_name_id,reason,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes
ttn_018872,generated_patronymic,female,Мөхәммәтулла кызы,Мухамметулловна,Moxammatulla kyzy,Mukhammetullovna,zags_2025,ev_0006240,active,patronymic
ttn_018876,generated_patronymic,male,Мөхәммәтфәез улы,Мухамметфаизович,Moxammatfaez uly,Mukhammetfaizovich,zags_2025,ev_0006242,active,patronymic
ttn_018877,generated_patronymic,female,Мөхәммәтфәез кызы,Мухамметфаизовна,Moxammatfaez kyzy,Mukhammetfaizovna,zags_2025,ev_0006243,active,patronymic
ttn_018881,generated_patronymic,male,Мөхәммәтхәбир улы,Мухамметхабирович,Moxammatxabir uly,Mukhammetkhabirovich,zags_2025,ev_0006245,active,patronymic
ttn_018882,generated_patronymic,female,Мөхәммәтхәбир кызы,Мухамметхабировна,Moxammatxabir kyzy,Mukhammetkhabirovna,zags_2025,ev_0006246,active,patronymic
ttn_018886,generated_patronymic,male,Мөхәммәтхәер улы,Мухамметхаирович,Moxammatxaer uly,Mukhammetkhairovich,zags_2025,ev_0006251,active,patronymic
ttn_018887,generated_patronymic,female,Мөхәммәтхәер кызы,Мухамметхаировна,Moxammatxaer kyzy,Mukhammetkhairovna,zags_2025,ev_0006252,active,patronymic
ttn_018891,generated_patronymic,female,Мөхәммәтхәйдәр кызы,Мухамметхайдаровна,Moxammatxaydar kyzy,Mukhammetkhaidarovna,zags_2025,ev_0006249,active,patronymic
ttn_018895,generated_patronymic,male,Мөхәммәтхәким улы,Мухамметхакимович,Moxammatxakim uly,Mukhammetkhakimovich,zags_2025,ev_0006254,active,patronymic
ttn_018896,generated_patronymic,female,Мөхәммәтхәким кызы,Мухамметхакимовна,Moxammatxakim kyzy,Mukhammetkhakimovna,zags_2025,ev_0006255,active,patronymic
ttn_018901,generated_patronymic,male,Мөхәммәтхәниф улы,Мухамметханифович,Moxammatxanif uly,Mukhammetkhanifovich,zags_2025,ev_0006260,active,patronymic
ttn_018902,generated_patronymic,female,Мөхәммәтхәниф кызы,Мухамметханифовна,Moxammatxanif kyzy,Mukhammetkhanifovna,zags_2025,ev_0006261,active,patronymic
