entity_id,entity_type,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes,is_lexical_exception
ttn_012485,given,male,Ильяр,Ильяр,Ilyar,Iliar,zags_2025,ev_0004141,active,given,false
ttn_012488,surname,male,Ильяров,Ильяров,Ilyarov,Iliarov,zags_2025,ev_0014127,active,surname,false
ttn_012489,surname,female,Ильярова,Ильярова,Ilyarova,Iliarova,zags_2025,ev_0014128,active,surname,false
ttn_012492,given,male,Ильяс,Ильяс,Ilyas,Ilias,zags_2025,ev_0004144,active,given,false
ttn_012495,surname,male,Ильясов,Ильясов,Ilyasov,Iliasov,zags_2025,ev_0014129,active,surname,false
ttn_012496,surname,female,Ильясова,Ильясова,Ilyasova,Iliasova,zags_2025,ev_0014130,active,surname,false
ttn_012499,given,female,Илүзә,Илюза,Iluza,Iliuza,zags_2025,ev_0010157,active,given,false
ttn_012500,given,male,Илүс,Илюс,Ilus,Ilius,zags_2025,ev_0004147,active,given,false
ttn_012501,given,female,Илүсә,Илюса,Ilusa,Iliusa,zags_2025,ev_0010158,active,given,false
ttn_012502,surname,male,Илүсов,Илюсов,Ilusov,Iliusov,zags_2025,ev_0014131,active,surname,false
ttn_012503,surname,female,Илүсова,Илюсова,Ilusova,Iliusova,zags_2025,ev_0014132,active,surname,false
ttn_012534,surname,male,Имаев,Имаев,Imaev,Imaev,zags_2025,ev_0014133,active,surname,false
ttn_012535,surname,female,Имаева,Имаева,Imaeva,Imaeva,zags_2025,ev_0014134,active,surname,false
ttn_012538,given,male,Имай,Имай,Imay,Imai,zags_2025,ev_0004150,active,given,false
ttn_012541,given,male,Имам,Имам,Imam,Imam,zags_2025,ev_0004153,active,given,false
ttn_012544,surname,male,Имамбаев,Имамбаев,Imambaev,Imambaev,zags_2025,ev_0014135,active,surname,false
ttn_012545,surname,female,Имамбаева,Имамбаева,Imambaeva,Imambaeva,zags_2025,ev_0014136,active,surname,false
