review_id,subject_kind,subject_id,queue_reason,suggested_relation,source_id,evidence_id,notes
rq_0000051,excluded_entity,ttn_000135,generated_patronymic,review_candidate,zags_2025,ev_0000047,patronymic
rq_0000052,excluded_entity,ttn_000136,generated_patronymic,review_candidate,zags_2025,ev_0000048,patronymic
rq_0000053,excluded_entity,ttn_000140,generated_patronymic,review_candidate,zags_2025,ev_0000050,patronymic
rq_0000054,excluded_entity,ttn_000141,generated_patronymic,review_candidate,zags_2025,ev_0000051,patronymic
rq_0000055,excluded_entity,ttn_000145,generated_patronymic,review_candidate,zags_2025,ev_0000053,patronymic
rq_0000056,excluded_entity,ttn_000146,generated_patronymic,review_candidate,zags_2025,ev_0000054,patronymic
rq_0000057,excluded_entity,ttn_000150,generated_patronymic,review_candidate,zags_2025,ev_0000056,patronymic
rq_0000058,excluded_entity,ttn_000151,generated_patronymic,review_candidate,zags_2025,ev_0000057,patronymic
rq_0000059,excluded_entity,ttn_000155,generated_patronymic,review_candidate,zags_2025,ev_0000059,patronymic
rq_0000060,excluded_entity,ttn_000156,generated_patronymic,review_candidate,zags_2025,ev_0000060,patronymic
rq_0000061,excluded_entity,ttn_000160,generated_patronymic,review_candidate,zags_2025,ev_0000062,patronymic
rq_0000062,excluded_entity,ttn_000161,generated_patronymic,review_candidate,zags_2025,ev_0000063,patronymic
rq_0000063,excluded_entity,ttn_000165,generated_patronymic,review_candidate,zags_2025,ev_0000065,patronymic
rq_0000064,excluded_entity,ttn_000166,generated_patronymic,review_candidate,zags_2025,ev_0000066,patronymic
rq_0000065,excluded_entity,ttn_000170,generated_patronymic,review_candidate,zags_2025,ev_0000068,patronymic
rq_0000066,excluded_entity,ttn_000171,generated_patronymic,review_candidate,zags_2025,ev_0000069,patronymic
rq_0000067,excluded_entity,ttn_000175,generated_patronymic,review_candidate,zags_2025,ev_0000071,patronymic
rq_0000068,excluded_entity,ttn_000176,generated_patronymic,review_candidate,zags_2025,ev_0000072,patronymic
rq_0000069,excluded_entity,ttn_000180,generated_patronymic,review_candidate,zags_2025,ev_0000074,patronymic
rq_0000070,excluded_entity,ttn_000181,generated_patronymic,review_candidate,zags_2025,ev_0000075,patronymic
rq_0000071,excluded_entity,ttn_000185,generated_patronymic,review_candidate,zags_2025,ev_0000077,patronymic
rq_0000072,excluded_entity,ttn_000186,generated_patronymic,review_candidate,zags_2025,ev_0000078,patronymic
rq_0000073,excluded_entity,ttn_000190,generated_patronymic,review_candidate,zags_2025,ev_0000080,patronymic
