alias_id,name_id,alias,script,language_tag,alias_type,method,confidence,source_id,rule_id
a_0000036,ttn_000069,Әбделхәмитова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000037,ttn_000073,Abcalilev,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000038,ttn_000073,Abdzhalilev,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000039,ttn_000073,Әбҗәлилев,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000040,ttn_000074,Abcalileva,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000041,ttn_000074,Abdzhalileva,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000042,ttn_000074,Әбҗәлилева,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000043,ttn_000077,Abcalil,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000044,ttn_000077,Abdzhalil,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000045,ttn_000077,Әбҗәлил,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000046,ttn_000078,Abdrazak,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000047,ttn_000078,Әбдрәзәк,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000048,ttn_000079,Abdrazakov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000049,ttn_000079,Әбдрәзәков,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000050,ttn_000080,Abdrazakova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000051,ttn_000080,Әбдрәзәкова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000052,ttn_000083,Abdrakhim,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000053,ttn_000083,Abdraxim,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000054,ttn_000083,Әбдрәхим,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000055,ttn_000084,Abdrakhimov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000056,ttn_000084,Abdraximov,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000057,ttn_000084,Әбдрәхимов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000058,ttn_000085,Abdrakhimova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000059,ttn_000085,Abdraximova,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000060,ttn_000085,Әбдрәхимова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000061,ttn_000088,Abdrakhman,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000062,ttn_000088,Abdraxman,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000063,ttn_000091,Abdrakhmanov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000064,ttn_000091,Abdraxmanov,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000065,ttn_000091,Абдрахманов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000066,ttn_000092,Abdrakhmanova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000067,ttn_000092,Abdraxmanova,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000068,ttn_000092,Абдрахманова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000069,ttn_000095,Abdrashit,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000070,ttn_000095,Әбдрәшит,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000071,ttn_000096,Abdrashitov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000072,ttn_000096,Әбдрәшитов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000073,ttn_000097,Abdrashitova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000074,ttn_000097,Әбдрәшитова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000075,ttn_000101,Abdulla,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000076,ttn_000104,Abdullin,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000077,ttn_000104,Абдуллин,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000078,ttn_000105,Abdullina,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000079,ttn_000105,Абдуллина,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000080,ttn_000112,Abelgazi,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000081,ttn_000112,Abelgazyy,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000082,ttn_000112,Әбелгазый,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000083,ttn_000113,Abelgaziev,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000084,ttn_000113,Abelgazyev,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000085,ttn_000113,Әбелгазыев,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000086,ttn_000114,Abelgazieva,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000087,ttn_000114,Abelgazyeva,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000088,ttn_000114,Әбелгазыева,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000089,ttn_000117,Abelgaziz,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000090,ttn_000117,Әбелгазиз,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000091,ttn_000118,Abelgazizov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000092,ttn_000118,Әбелгазизов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000093,ttn_000119,Abelgazizova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000094,ttn_000119,Әбелгазизова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000095,ttn_000122,Abelgalim,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000096,ttn_000122,Әбелгалим,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000097,ttn_000123,Abelgalimov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000098,ttn_000123,Әбелгалимов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000099,ttn_000124,Abelgalimova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000100,ttn_000124,Әбелгалимова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000101,ttn_000127,Abelgaraev,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000102,ttn_000127,Әбелгәрәев,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000103,ttn_000128,Abelgaraeva,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000104,ttn_000128,Әбелгәрәева,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000105,ttn_000131,Abelgarai,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000106,ttn_000131,Abelgaray,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000107,ttn_000131,Әбелгәрәй,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000108,ttn_000132,Abelgasim,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000109,ttn_000132,Abelgasyym,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000110,ttn_000132,Әбелгасыйм,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000111,ttn_000133,Abelgasimov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000112,ttn_000133,Abelgasyymov,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000113,ttn_000133,Әбелгасыймов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000114,ttn_000134,Abelgasimova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000115,ttn_000134,Abelgasyymova,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000116,ttn_000134,Әбелгасыймова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000117,ttn_000137,Abelgata,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000118,ttn_000137,Әбелгата,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000119,ttn_000138,Abelgatin,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000120,ttn_000138,Әбелгатин,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000121,ttn_000139,Abelgatina,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000122,ttn_000139,Әбелгатина,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000123,ttn_000142,Abelgaffar,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000124,ttn_000142,Әбелгаффар,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000125,ttn_000143,Abelgaffarov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000126,ttn_000143,Әбелгаффаров,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000127,ttn_000144,Abelgaffarova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000128,ttn_000144,Әбелгаффарова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000129,ttn_000147,Abelgaiaz,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000130,ttn_000147,Abelgayaz,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000131,ttn_000147,Әбелгаяз,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000132,ttn_000148,Abelgaiazov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000133,ttn_000148,Abelgayazov,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000134,ttn_000148,Әбелгаязов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000135,ttn_000149,Abelgaiazova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000136,ttn_000149,Abelgayazova,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000137,ttn_000149,Әбелгаязова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000138,ttn_000152,Abelgaian,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000139,ttn_000152,Abelgayan,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000140,ttn_000152,Әбелгаян,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000141,ttn_000153,Abelgaianov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000142,ttn_000153,Abelgayanov,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000143,ttn_000153,Әбелгаянов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000144,ttn_000154,Abelgaianova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000145,ttn_000154,Abelgayanova,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000146,ttn_000154,Әбелгаянова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000147,ttn_000157,Abelkabir,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000148,ttn_000157,Әбелкәбир,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000149,ttn_000158,Abelkabirov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000150,ttn_000158,Әбелкәбиров,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000151,ttn_000159,Abelkabirova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000152,ttn_000159,Әбелкәбирова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000153,ttn_000162,Abelkadyr,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000154,ttn_000162,Abelkadyyr,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000155,ttn_000162,Әбелкадыйр,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000156,ttn_000163,Abelkadyrov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000157,ttn_000163,Abelkadyyrov,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000158,ttn_000163,Әбелкадыйров,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000159,ttn_000164,Abelkadyrova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000160,ttn_000164,Abelkadyyrova,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
a_0000161,ttn_000164,Әбелкадыйрова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
