name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_010927,given,female,unknown,tatar_registry,Зилинә,Зилина,Zilina,Zilina,Зилина,Зилинә,Зилина,zags_2025,ev_0010068,active,given
ttn_010929,given,female,unknown,tatar_registry,Зилия,Зилия,Ziliya,Ziliia,Зилия,Зилия,Зилия,zags_2025,ev_0010069,active,given
ttn_010935,given,male,unknown,tatar_registry,Зилмәт,Зильмат,Zilmat,Zilmat,Зильмат,Зилмәт,Зильмат,zags_2025,ev_0003754,active,given
ttn_010936,surname,male,unknown,tatar_registry,Зилмәтов,Зильматов,Zilmatov,Zilmatov,Зильматов,Зилмәтов,Зильматов,zags_2025,ev_0013869,active,surname
ttn_010937,surname,female,unknown,tatar_registry,Зилмәтова,Зильматова,Zilmatova,Zilmatova,Зильматова,Зилмәтова,Зильматова,zags_2025,ev_0013870,active,surname
ttn_010940,given,female,unknown,tatar_registry,Зилә,Зиля,Zila,Zilia,Зиля,Зилә,Зиля,zags_2025,ev_0010070,active,given
ttn_010942,given,female,unknown,tatar_registry,Зиләрә,Зиляра,Zilara,Ziliara,Зиляра,Зиләрә,Зиляра,zags_2025,ev_0010071,active,given
ttn_010948,given,female,unknown,tatar_registry,Зинира,Зинира,Zinira,Zinira,Зинира,Зинира,Зинира,zags_2025,ev_0010072,active,given
ttn_010949,given,male,unknown,tatar_registry,Зиннәт,Зиннат,Zinnat,Zinnat,Зиннат,Зиннәт,Зиннат,zags_2025,ev_0003757,active,given
ttn_010950,given,female,unknown,tatar_registry,Зиннәтбану,Зиннатбану,Zinnatbanu,Zinnatbanu,Зиннатбану,Зиннәтбану,Зиннатбану,zags_2025,ev_0010073,active,given
ttn_010951,given,male,unknown,tatar_registry,Зиннәтҗан,Зиннатзян,Zinnatcan,Zinnatzian,Зиннатзян,Зиннәтҗан,Зиннатзян,zags_2025,ev_0003760,active,given
